hops 8
config 0 1 1 false false
32 tcp_connected none tcp_ready 0/0/0/8 E--K
33 poll send_tcp tcp_ready 0/0/0/8 E--K
34 poll send_tcp tcp_ready 0/0/0/8 E--K
34 sent none awaiting_tcp 0/0/0/8 E--K
35 poll wait awaiting_tcp 0/0/0/8 E--K
35 expire failed_timeout failed timeout -
35 tcp_failed none failed timeout -
35 reply_unmatched ignored awaiting_tcp 0/0/0/8 E--K
35 reply_answer accepted done - -
35 reply_cname accepted failed chain_too_long -
35 reply_nxdomain accepted failed name_not_found -
35 reply_nodata accepted failed no_data -
35 reply_servfail accepted failed all_servers_failed -
35 reply_formerr accepted query_ready 0/0/0/8 ---K
35 reply_truncated accepted failed no_data -
35 reply_badcookie accepted failed all_servers_failed -
35 cancel none failed canceled -
34 send_failed none failed timeout -
34 tcp_failed none failed timeout -
34 reply_unmatched ignored tcp_ready 0/0/0/8 E--K
34 cancel none failed canceled -
33 tcp_failed none failed timeout -
33 reply_unmatched ignored tcp_ready 0/0/0/8 E--K
33 cancel none failed canceled -
32 tcp_failed none failed timeout -
32 reply_unmatched ignored connecting_tcp 0/0/0/8 E--K
32 reply_answer ignored connecting_tcp 0/0/0/8 E--K
32 reply_cname ignored connecting_tcp 0/0/0/8 E--K
32 reply_nxdomain ignored connecting_tcp 0/0/0/8 E--K
32 reply_nodata ignored connecting_tcp 0/0/0/8 E--K
32 reply_servfail ignored connecting_tcp 0/0/0/8 E--K
32 reply_formerr ignored connecting_tcp 0/0/0/8 E--K
32 reply_truncated ignored connecting_tcp 0/0/0/8 E--K
32 reply_badcookie ignored connecting_tcp 0/0/0/8 E--K
32 cancel none failed canceled -
31 reply_unmatched ignored tcp_needed 0/0/0/8 E--K
31 cancel none failed canceled -
30 reply_badcookie accepted tcp_needed 0/0/0/8 E--K
30 cancel none failed canceled -
29 send_failed none failed timeout -
29 reply_unmatched ignored query_ready 0/0/0/8 E--K
29 cancel none failed canceled -
28 reply_unmatched ignored query_ready 0/0/0/8 E--K
28 cancel none failed canceled -
27 cancel none failed canceled -
26 send_failed none failed timeout -
26 reply_unmatched ignored query_ready 0/0/0/8 E---
26 cancel none failed canceled -
25 reply_unmatched ignored query_ready 0/0/0/8 E---
25 cancel none failed canceled -
24 reply_nxdomain accepted failed name_not_found -
24 reply_nodata accepted failed no_data -
24 reply_servfail accepted failed all_servers_failed -
24 reply_formerr accepted query_ready 0/0/0/7 ----
25 poll send_udp query_ready 0/0/0/7 ----
26 poll send_udp query_ready 0/0/0/7 ----
26 sent none awaiting_udp 0/0/0/7 ----
27 poll wait awaiting_udp 0/0/0/7 ----
27 expire failed_timeout failed timeout -
27 reply_unmatched ignored awaiting_udp 0/0/0/7 ----
27 reply_answer accepted done - -
27 reply_cname accepted query_ready 0/0/0/8 ----
27 reply_nxdomain accepted failed name_not_found -
27 reply_nodata accepted failed no_data -
27 reply_servfail accepted failed all_servers_failed -
27 reply_formerr accepted failed all_servers_failed -
27 reply_truncated accepted tcp_needed 0/0/0/7 ----
28 poll connect_tcp connecting_tcp 0/0/0/7 ----
29 poll wait connecting_tcp 0/0/0/7 ----
29 expire failed_timeout failed timeout -
29 tcp_connected none tcp_ready 0/0/0/7 ----
30 poll send_tcp tcp_ready 0/0/0/7 ----
31 poll send_tcp tcp_ready 0/0/0/7 ----
31 sent none awaiting_tcp 0/0/0/7 ----
32 poll wait awaiting_tcp 0/0/0/7 ----
32 expire failed_timeout failed timeout -
32 tcp_failed none failed timeout -
32 reply_unmatched ignored awaiting_tcp 0/0/0/7 ----
32 reply_answer accepted done - -
32 reply_cname accepted query_ready 0/0/0/8 ----
32 reply_nxdomain accepted failed name_not_found -
32 reply_nodata accepted failed no_data -
32 reply_servfail accepted failed all_servers_failed -
32 reply_formerr accepted failed all_servers_failed -
32 reply_truncated accepted failed no_data -
32 reply_badcookie accepted failed all_servers_failed -
32 cancel none failed canceled -
31 send_failed none failed timeout -
31 tcp_failed none failed timeout -
31 reply_unmatched ignored tcp_ready 0/0/0/7 ----
31 cancel none failed canceled -
30 tcp_failed none failed timeout -
30 reply_unmatched ignored tcp_ready 0/0/0/7 ----
30 cancel none failed canceled -
29 tcp_failed none failed timeout -
29 reply_unmatched ignored connecting_tcp 0/0/0/7 ----
29 reply_answer ignored connecting_tcp 0/0/0/7 ----
29 reply_cname ignored connecting_tcp 0/0/0/7 ----
29 reply_nxdomain ignored connecting_tcp 0/0/0/7 ----
29 reply_nodata ignored connecting_tcp 0/0/0/7 ----
29 reply_servfail ignored connecting_tcp 0/0/0/7 ----
29 reply_formerr ignored connecting_tcp 0/0/0/7 ----
29 reply_truncated ignored connecting_tcp 0/0/0/7 ----
29 reply_badcookie ignored connecting_tcp 0/0/0/7 ----
29 cancel none failed canceled -
28 reply_unmatched ignored tcp_needed 0/0/0/7 ----
28 cancel none failed canceled -
27 reply_badcookie accepted query_ready 0/0/0/7 ---K
28 poll send_udp query_ready 0/0/0/7 ---K
29 poll send_udp query_ready 0/0/0/7 ---K
29 sent none awaiting_udp 0/0/0/7 ---K
30 poll wait awaiting_udp 0/0/0/7 ---K
30 expire failed_timeout failed timeout -
30 reply_unmatched ignored awaiting_udp 0/0/0/7 ---K
30 reply_answer accepted done - -
30 reply_cname accepted query_ready 0/0/0/8 ---K
30 reply_nxdomain accepted failed name_not_found -
30 reply_nodata accepted failed no_data -
30 reply_servfail accepted failed all_servers_failed -
30 reply_formerr accepted failed all_servers_failed -
30 reply_truncated accepted tcp_needed 0/0/0/7 ---K
31 poll connect_tcp connecting_tcp 0/0/0/7 ---K
32 poll wait connecting_tcp 0/0/0/7 ---K
32 expire failed_timeout failed timeout -
32 tcp_connected none tcp_ready 0/0/0/7 ---K
33 poll send_tcp tcp_ready 0/0/0/7 ---K
34 poll send_tcp tcp_ready 0/0/0/7 ---K
34 sent none awaiting_tcp 0/0/0/7 ---K
35 poll wait awaiting_tcp 0/0/0/7 ---K
35 expire failed_timeout failed timeout -
35 tcp_failed none failed timeout -
35 reply_unmatched ignored awaiting_tcp 0/0/0/7 ---K
35 reply_answer accepted done - -
35 reply_cname accepted query_ready 0/0/0/8 ---K
35 reply_nxdomain accepted failed name_not_found -
35 reply_nodata accepted failed no_data -
35 reply_servfail accepted failed all_servers_failed -
35 reply_formerr accepted failed all_servers_failed -
35 reply_truncated accepted failed no_data -
35 reply_badcookie accepted failed all_servers_failed -
35 cancel none failed canceled -
34 send_failed none failed timeout -
34 tcp_failed none failed timeout -
34 reply_unmatched ignored tcp_ready 0/0/0/7 ---K
34 cancel none failed canceled -
33 tcp_failed none failed timeout -
33 reply_unmatched ignored tcp_ready 0/0/0/7 ---K
33 cancel none failed canceled -
32 tcp_failed none failed timeout -
32 reply_unmatched ignored connecting_tcp 0/0/0/7 ---K
32 reply_answer ignored connecting_tcp 0/0/0/7 ---K
32 reply_cname ignored connecting_tcp 0/0/0/7 ---K
32 reply_nxdomain ignored connecting_tcp 0/0/0/7 ---K
32 reply_nodata ignored connecting_tcp 0/0/0/7 ---K
32 reply_servfail ignored connecting_tcp 0/0/0/7 ---K
32 reply_formerr ignored connecting_tcp 0/0/0/7 ---K
32 reply_truncated ignored connecting_tcp 0/0/0/7 ---K
